序号,仓库名,平台,分类,Stars,主语言,克隆地址,主页,本地目录,简介
70,wang-buer/Nursing-home-management-system-based-on-spring-boot1,GitHub,养老院/机构管理系统,30,Java,https://github.com/wang-buer/Nursing-home-management-system-based-on-spring-boot1.git,https://github.com/wang-buer/Nursing-home-management-system-based-on-spring-boot1,wang-buer__Nursing-home-management-system-based-on-spring-boot1,基于springboot的养老院管理系统拥有多种角色账号：管理员和用户  管理员：管理员管理、用户管理、健康管理、病例方案管理、药品管理、餐饮管理、外出管理、入住管理、房间分配、事故记录、访客管理、入住费用管理、护理费管理等  用户：个人信息、家人情况查看、生活情况和收费标准查看等
71,HadesTYT/zhihuiyanglao,GitHub,养老院/机构管理系统,1,Java,https://github.com/HadesTYT/zhihuiyanglao.git,https://github.com/HadesTYT/zhihuiyanglao,HadesTYT__zhihuiyanglao,基于SpringBoot的智慧居家养老健康管理系统-017
72,YPYT1/Nursing-home-health-management,GitHub,养老院/机构管理系统,14,JavaScript,https://github.com/YPYT1/Nursing-home-health-management.git,https://github.com/YPYT1/Nursing-home-health-management,YPYT1__Nursing-home-health-management,基于javaspring的养老院健康管理系统
73,YuLin-Coder/No115CommunityElderlyCareComprehensive,GitHub,养老院/机构管理系统,34,JavaScript,https://github.com/YuLin-Coder/No115CommunityElderlyCareComprehensive.git,https://github.com/YuLin-Coder/No115CommunityElderlyCareComprehensive,YuLin-Coder__No115CommunityElderlyCareComprehensive,基于springboot的社区养老医疗综合服务平台：前端 html、jquery，后端 maven、springmvc、spring、mybatis、shiro，角色分为管理员、医生、患者；集成居民就诊，预约，居民医保，居民健康信息等功能于一体的系统。
74,zongjixiaoai66/NursingHomeManagementSystem2,GitHub,养老院/机构管理系统,6,Vue,https://github.com/zongjixiaoai66/NursingHomeManagementSystem2.git,https://github.com/zongjixiaoai66/NursingHomeManagementSystem2,zongjixiaoai66__NursingHomeManagementSystem2,基于Vue.js和SpringBoot的敬老院管理系统，分为用户前台和管理后台，可以给管理员、医护人员、老人角色使用，包括健康档案模块、护理记录模块、费用信息模块、物资信息模块、膳食信息模块、服务工单模块
75,mmm-collab/yanglaoAPP,GitHub,居家/社区养老平台,3,JavaScript,https://github.com/mmm-collab/yanglaoAPP.git,https://github.com/mmm-collab/yanglaoAPP,mmm-collab__yanglaoAPP, 本作品为智慧养老APP原型鸿蒙项目，老年用户或家属可在线下单服务以及实时监测老年人的健康情况。APP端包括家政护理，康复理疗，上门体检，健康数据，设备中心，用药信息，健康膳食，健康资讯，疾病宝典，健康档案管理，订单管理，生活圈，老年活动，发布动态等功能。所有元件均可复用
76,Zhidian2024/zhihuiyanglao-peizhen00,GitHub,养老院/机构管理系统,1,,https://github.com/Zhidian2024/zhihuiyanglao-peizhen00.git,https://github.com/Zhidian2024/zhihuiyanglao-peizhen00,Zhidian2024__zhihuiyanglao-peizhen00,智慧养老_智慧养老系统_智慧养老服务平台_养老系统_养老管理系统_养老护理_帮忙代办_陪诊陪护_陪诊系统_陪护系统
77,AwesomeWong/elder-care,GitHub,养老院/机构管理系统,7,Java,https://github.com/AwesomeWong/elder-care.git,https://github.com/AwesomeWong/elder-care,AwesomeWong__elder-care,一个基于SpringBoot+vue3+WebSocket+阿里云IOT+Redis+Mybatis+SpringSecurity开发的智能化养老服务管理系统。 涵盖了智能健康监测、权限管理、订单管理等多个功能模块，旨在为养老服务机构提供信息化管理方案，同时实时握老人的健康状况和护理情况，提高服务质量，减少管理成本。
78,wanghao234/eldercare-system-web,GitHub,养老院/机构管理系统,0,Vue,https://github.com/wanghao234/eldercare-system-web.git,https://github.com/wanghao234/eldercare-system-web,wanghao234__eldercare-system-web,智能养老院管理系统前端项目
79,javacode443/Community-Smart-Healthcare-and-Elderly-Care-System,GitHub,养老院/机构管理系统,0,Vue,https://github.com/javacode443/Community-Smart-Healthcare-and-Elderly-Care-System.git,https://github.com/javacode443/Community-Smart-Healthcare-and-Elderly-Care-System,javacode443__Community-Smart-Healthcare-and-Elderly-Care-System,社区智慧医疗养老系统 JAVA开源毕设
80,luoci1213/smart_elderly_care,GitHub,养老院/机构管理系统,0,Vue,https://github.com/luoci1213/smart_elderly_care.git,https://github.com/luoci1213/smart_elderly_care,luoci1213__smart_elderly_care,智慧养老管理系统 完整版：后端+管理端+机构端/护工端/家属端三移动端
81,baizhi958216/Nursing-Home-Management-System,GitHub,养老院/机构管理系统,12,Java,https://github.com/baizhi958216/Nursing-Home-Management-System.git,https://github.com/baizhi958216/Nursing-Home-Management-System,baizhi958216__Nursing-Home-Management-System,SpringBoot+Vue敬老院(养老院)管理系统
82,zhanghongyu04/smart-nursing-house,GitHub,AI 陪伴/对话,2,Java,https://github.com/zhanghongyu04/smart-nursing-house.git,https://github.com/zhanghongyu04/smart-nursing-house,zhanghongyu04__smart-nursing-house,智慧康养管理平台是一套面向养老机构的前后端分离管理系统，提供机构管理、老人档案、护理任务、护理日志、视频监控、对象存储、权限治理和智能问答等能力。
83,zspeter1902/aged-stage-platform,GitHub,养老院/机构管理系统,1,Vue,https://github.com/zspeter1902/aged-stage-platform.git,https://github.com/zspeter1902/aged-stage-platform,zspeter1902__aged-stage-platform,"该养老院管理系统适用于养老院、老年公寓、敬老院、托养院等机构，用于提高养老院内部工作效率。主要是针对养老院工作人员即管理员和护工设计的。养老院管理系统将IT技术为养老院提供一个接口便于管理信息,存储老人信息和其他信息,查找和更新信息的养老院档案,节省了员工的劳动时间,大大降低了成本。"
84,zongjixiaoai66/ElderlyCareMonitoringPlatform,GitHub,健康监护/体征监测,1,Vue,https://github.com/zongjixiaoai66/ElderlyCareMonitoringPlatform.git,https://github.com/zongjixiaoai66/ElderlyCareMonitoringPlatform,zongjixiaoai66__ElderlyCareMonitoringPlatform,基于Vue.js和SpringBoot的智慧养老监护平台，分为用户前台和管理后台，可以给管理员、体检员、护工角色使用，包括房间信息模块、房间入住模块、反馈信息模块、后勤人员模块、老人信息模块
85,Chen01020304/elderly-care-backend,GitHub,居家/社区养老平台,0,Java,https://github.com/Chen01020304/elderly-care-backend.git,https://github.com/Chen01020304/elderly-care-backend,Chen01020304__elderly-care-backend,基于 Spring Boot + MyBatis 的智慧养老社区管理平台后端服务，提供 RESTful API 接口，支持老人档案管理、床位分配、探视预约、健康监测等核心业务功能。 技术栈：Spring Boot + Mybatis
86,Johan535/Smart-Community-Elderly-Care-Mini-Program,GitHub,居家/社区养老平台,0,Java,https://github.com/Johan535/Smart-Community-Elderly-Care-Mini-Program.git,https://github.com/Johan535/Smart-Community-Elderly-Care-Mini-Program,Johan535__Smart-Community-Elderly-Care-Mini-Program,面向社区居家养老场景，打造老人 / 家属 + 社区工作人员双端一体化微信小程序，解决传统养老信息不对称、服务不规范、监测不及时、资源分散问题，实现健康管理、生活服务、紧急求助、活动社交、社区监管全流程智能化。
87,zhaofuchen99/eldercare-system,GitHub,养老院/机构管理系统,0,Java,https://github.com/zhaofuchen99/eldercare-system.git,https://github.com/zhaofuchen99/eldercare-system,zhaofuchen99__eldercare-system,基于 Spring Boot + MyBatis + Redis + Spring AI 构建的 AI 智能养老社区管理系统，提供健康档案管理、健康评测、AI健康咨询、体检预约、社区活动、积分管理等功能。
88,Smeraaa/elderly-care-app,GitHub,AI 陪伴/对话,0,TypeScript,https://github.com/Smeraaa/elderly-care-app.git,https://github.com/Smeraaa/elderly-care-app,Smeraaa__elderly-care-app,"An AI-inspired bilingual elderly care assistant built with React and TypeScript, featuring health tracking, medication management, voice interaction, mood support, appointments, caregivers, and emergency assistance."
89,nature924/No72Nursing-Home-Management-System,GitHub,养老院/机构管理系统,12,Java,https://github.com/nature924/No72Nursing-Home-Management-System.git,https://github.com/nature924/No72Nursing-Home-Management-System,nature924__No72Nursing-Home-Management-System,基于Springboot框架实现的敬老院管理系统，编程语言:Java ；数据库:MySQL；项目管理工具:Maven 前端技术:VUE、javascript、html、css、jQuery； 后端技术:Spring、SpringMvc、MyBatis，系统包含三种角色：管理员、老人、医护人员
90,968626/Community-Elderly-Care-System,GitHub,养老院/机构管理系统,1,,https://github.com/968626/Community-Elderly-Care-System.git,https://github.com/968626/Community-Elderly-Care-System,968626__Community-Elderly-Care-System, 一个基于 Spring Boot + Vue 3 的现代化社区养老服务平台，为老年人提供便捷的养老院查询、活动报名、健康管理等服务。
91,ikun2004/-Smart-elderly-care,GitHub,养老院/机构管理系统,0,JavaScript,https://github.com/ikun2004/-Smart-elderly-care.git,https://github.com/ikun2004/-Smart-elderly-care,ikun2004__-Smart-elderly-care,智慧养老院
92,1wri/NursingHomeSystem,GitHub,养老院/机构管理系统,0,HTML,https://github.com/1wri/NursingHomeSystem.git,https://github.com/1wri/NursingHomeSystem,1wri__NursingHomeSystem,"SpringBoot+Html敬老院(养老院)管理系统,html项目，SpringBoot项目，java项目"
93,767172261/Smart-home-and-smart-elderly-care-image-recognition-human-behavior-image-recognition-fall-recognitio,GitHub,AI 视觉监护/跌倒检测,0,,https://github.com/767172261/Smart-home-and-smart-elderly-care-image-recognition-human-behavior-image-recognition-fall-recognitio.git,https://github.com/767172261/Smart-home-and-smart-elderly-care-image-recognition-human-behavior-image-recognition-fall-recognitio,767172261__Smart-home-and-smart-elderly-care-image-recognition-human-behavior-image-recognition-fall-recognitio,智慧家居与智慧养老图像识别 人体行为图像识别 摔倒识别 人体姿态识别 yolo pose图像识别。基于YOLOV8的姿态检测 实现坐、站立、跌倒姿态的推理与评估
94,wangbuer1/Springboot-based-nursing-home-management-system-3,GitHub,养老院/机构管理系统,4,Java,https://github.com/wangbuer1/Springboot-based-nursing-home-management-system-3.git,https://github.com/wangbuer1/Springboot-based-nursing-home-management-system-3,wangbuer1__Springboot-based-nursing-home-management-system-3,基于springboot的养老院管理系统3拥有两种角色  管理员：老师\亲属\每日健康\既往病史\活动分类\活动\商品类型\商品\便利店\护工\服务类型\紧急求助\礼品\积分管理等  老人：服务\商品购买、登录注册、既往病史登记、健康登记、其它各种信息查看等
95,huaaweiCode/Nursing-home-management-system-based-on-spring-boot1,GitHub,养老院/机构管理系统,4,Java,https://github.com/huaaweiCode/Nursing-home-management-system-based-on-spring-boot1.git,https://github.com/huaaweiCode/Nursing-home-management-system-based-on-spring-boot1,huaaweiCode__Nursing-home-management-system-based-on-spring-boot1,基于springboot的养老院管理系统拥有多种角色账号：管理员和用户  管理员：管理员管理、用户管理、健康管理、病例方案管理、药品管理、餐饮管理、外出管理、入住管理、房间分配、事故记录、访客管理、入住费用管理、护理费管理等  用户：个人信息、家人情况查看、生活情况和收费标准查看等
96,lsh-src/neusoft-elderly-care-system,GitHub,AI 陪伴/对话,1,Java,https://github.com/lsh-src/neusoft-elderly-care-system.git,https://github.com/lsh-src/neusoft-elderly-care-system,lsh-src__neusoft-elderly-care-system,东软颐养中心管理系统 - 基于Spring Boot微服务+Vue3的养老机构综合管理平台，集成AI智能对话、RAG知识库问答、健康评估分析等功能
97,bishebao/ElderlyCareFacilityManagementSystem,GitHub,养老院/机构管理系统,1,,https://github.com/bishebao/ElderlyCareFacilityManagementSystem.git,https://github.com/bishebao/ElderlyCareFacilityManagementSystem,bishebao__ElderlyCareFacilityManagementSystem,基于SpringBoot Vue智慧养老院管理系统
98,Dddddduo/smart-community-elderly-care-management_frontend,GitHub,居家/社区养老平台,1,Vue,https://github.com/Dddddduo/smart-community-elderly-care-management_frontend.git,https://github.com/Dddddduo/smart-community-elderly-care-management_frontend,Dddddduo__smart-community-elderly-care-management_frontend,北华大学2025软件实训 智慧社区养老服务平台 前端部分 管理端
99,FunMax-Edward/ESP32-Elderly-Fall-Detection-System,GitHub,AI 视觉监护/跌倒检测,28,HTML,https://github.com/FunMax-Edward/ESP32-Elderly-Fall-Detection-System.git,https://github.com/FunMax-Edward/ESP32-Elderly-Fall-Detection-System,FunMax-Edward__ESP32-Elderly-Fall-Detection-System,ESP32老人跌倒监测系统是一个基于ESP32和MPU6050传感器的智能监护设备，专为老年人的安全监护设计。系统通过精确分析姿态数据，实时检测老人的跌倒状态，并通过现代化的网页界面展示实时数据、发送警报通知。 本系统采用了现代Web技术实现了美观易用的用户界面，支持离线使用，并可通过语音或网页进行远程控制，是智能家居和远程看护的理想解决方案。
100,wanghao234/eldercare-system,GitHub,养老院/机构管理系统,0,Java,https://github.com/wanghao234/eldercare-system.git,https://github.com/wanghao234/eldercare-system,wanghao234__eldercare-system,智能养老院管理系统后端项目
